Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"MB by Commonwealth Electoral Divisions (UR) by AGEP Age, HEAP - 1 Digit Level and SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGEP Age","ages45to59",,,,"age18to29",,,,"ages30to44",,,,"ages60plus",,,,"Total",,,,
"HEAP - 1 Digit Level","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV",
"SEXP Sex","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female","Female",
"MB by Commonwealth Electoral Divisions (UR)",
"Bennelong",1718,4285,4478,3984,1712,4997,6136,2225,4265,7323,2816,3855,639,2196,8283,3044,8332,18799,21713,13105,
"Berowra",1714,4498,3974,4863,398,2340,4345,1509,2167,5112,2052,3285,706,2574,7016,3525,4985,14521,17390,13176,
"Blair",415,1542,6988,4559,114,1401,6284,4080,518,2699,5743,5781,166,874,9236,2128,1211,6512,28247,16550,
"Blaxland",353,1456,7609,2823,748,3207,7615,2993,1272,3405,6397,4183,120,734,8962,1233,2499,8801,30593,11231,
"Bonner",950,3116,5470,4349,426,2606,5012,2682,1581,5383,3652,4703,347,1496,9154,2330,3308,12591,23278,14074,
"Boothby",1169,3584,5353,4962,518,3399,6045,2465,1838,5777,2939,4342,718,2755,12506,4166,4245,15524,26845,15934,
"Bowman",597,2173,6703,5338,110,1337,4357,3005,555,2955,4114,5083,290,1476,10557,3035,1552,7938,25732,16456,
"Braddon",218,1089,5454,3131,69,549,3351,1863,167,1275,3502,2816,124,975,8721,1992,582,3892,21028,9803,
"Bradfield",2497,6204,3098,4052,739,3110,4885,1143,3740,7355,1827,2803,1146,3694,6579,3974,8121,20365,16388,11967,
"Brand",259,1520,6792,4433,134,1481,6377,4260,588,3138,6246,6051,84,774,7984,1807,1071,6909,27402,16558,
"Brisbane",1633,3829,3182,3534,1087,6829,7783,3966,2888,7855,2757,4383,591,1784,4967,1877,6201,20300,18687,13758,
"Bruce",341,1537,8110,3708,586,2807,6958,3370,1264,3553,5952,5091,139,876,11080,1950,2329,8773,32098,14108,
"Burt",429,1740,7168,4002,349,2354,6682,3680,1392,4663,6089,5486,102,845,7933,1885,2273,9593,27873,15056,
"Calare",473,2151,6165,4727,142,1376,5066,3003,591,3001,4162,4634,331,1581,10678,3181,1536,8105,26077,15553,
"Calwell",273,1261,7767,3270,446,2307,6914,3477,1147,3233,6318,5172,65,430,7236,1086,1938,7234,28232,13007,
"Canberra",2242,3212,2030,2828,1100,4562,6023,1962,3305,4843,1461,2794,1180,2622,4234,2524,7829,15240,13751,10107,
"Canning",272,1535,6675,4356,77,1040,4737,3029,393,2250,4681,4591,135,1216,10911,2822,876,6045,26997,14799,
"Capricornia",304,1661,7283,3713,92,1304,5427,2929,372,2706,5380,4410,148,935,9203,1701,920,6603,27293,12751,
"Casey",527,2269,6311,5432,197,1519,4631,3289,748,3337,3864,5537,333,1550,8776,3114,1802,8682,23579,17376,
"Chifley",428,2317,7361,3184,485,2374,7295,3435,1446,3895,6502,4801,151,1191,8477,1310,2504,9783,29632,12734,
"Chisholm",1599,4369,4712,4648,1209,4305,6733,2293,3043,6603,2637,3580,656,2687,10079,3583,6511,17961,24160,14113,
"Clark",835,2098,3541,2804,473,1753,4210,1702,1143,2744,2443,2749,499,1606,6373,2077,2955,8199,16563,9330,
"Cook",759,2671,4917,4196,408,2335,3887,2182,1117,4212,3035,4367,365,1518,9592,2993,2649,10740,21439,13737,
"Cooper",1505,2983,4732,3873,1126,4475,5792,2871,3134,7059,3214,5084,476,1039,8818,1592,6245,15560,22553,13415,
"Corangamite",529,2333,4766,4555,188,1485,3661,2393,745,3616,2881,4699,420,1943,9014,3680,1885,9383,20321,15322,
"Corio",537,2085,5955,4606,299,2164,5067,3309,912,3572,3634,4879,267,1428,10378,2787,2016,9250,25033,15577,
"Cowan",279,1634,6938,3728,189,1966,5512,2906,688,3644,5462,4921,99,778,7653,1757,1253,8020,25565,13310,
"Cowper",479,2214,6138,5794,95,969,4186,2503,434,2588,3558,4547,366,2059,13754,4221,1379,7827,27638,17060,
"Cunningham",1078,2458,5013,4548,501,2711,5833,3083,1494,4053,3269,4672,593,1493,9924,2792,3664,10706,24047,15090,
"Curtin",1732,4729,2687,3614,585,4360,4588,1728,2366,6286,1836,3048,952,3333,6144,3290,5636,18701,15253,11684,
"Dawson",354,1763,7441,4250,81,1644,5266,2951,443,2987,5302,4644,155,851,9603,1922,1033,7245,27614,13760,
"Deakin",754,2847,5451,4808,551,2548,4592,2588,1925,5634,3343,4961,323,1850,9954,3375,3557,12882,23345,15726,
"Dickson",719,2665,6253,5086,123,1666,4934,3180,842,4418,4320,5636,250,1171,8232,2323,1936,9926,23742,16227,
"Dobell",402,1696,6416,4910,107,1124,4986,3288,453,2681,4341,5334,250,1247,11586,3029,1210,6749,27324,16551,
"Dunkley",484,2123,6495,5100,200,1553,4882,3437,768,3443,4179,5799,264,1385,9281,2912,1715,8503,24842,17242,
"Durack",297,1749,7606,3955,124,1569,5941,3034,498,3458,6733,5181,107,791,6939,1755,1025,7573,27226,13929,
"Eden-Monaro",835,2638,5872,5015,141,1232,4213,2178,794,2943,3577,4379,500,1892,9142,3288,2262,8710,22801,14855,
"Fadden",538,2046,6703,5119,273,1824,5497,3669,885,3430,4855,5782,261,1248,10571,2946,1956,8556,27626,17514,
"Fairfax",646,2704,5711,5558,147,1435,4047,2800,651,3573,3601,5124,393,1858,10303,3693,1835,9566,23663,17183,
"Farrer",384,1821,6950,4712,149,1354,4933,3036,458,2894,4249,4608,170,1289,12412,2889,1160,7352,28544,15251,
"Fenner",994,2345,3539,3306,712,3036,5223,2745,2590,5758,3540,5260,379,1276,4473,1794,4683,12422,16777,13105,
"Fisher",533,2281,5794,5181,121,1237,4142,2665,507,3095,3766,4819,381,1788,11868,3565,1537,8405,25575,16227,
"Flinders",471,1988,5407,4811,101,888,3457,2314,443,2552,3058,4373,398,2101,12084,4048,1410,7528,24006,15553,
"Flynn",209,1434,7909,3986,75,1252,5080,2899,361,2609,6062,4478,70,729,8518,1630,716,6028,27567,12999,
"Forde",381,1542,7027,4686,136,1490,6231,4339,568,2959,6065,6278,126,864,9285,2178,1214,6856,28607,17478,
"Forrest",305,2101,6401,4638,70,940,4051,2653,398,3124,4707,5052,194,1433,9320,2813,970,7602,24479,15156,
"Fowler",209,1153,8965,2890,481,2639,7103,2708,637,2718,6956,3963,93,670,9532,1307,1423,7179,32557,10867,
"Franklin",527,1825,4146,3165,146,885,2918,1459,611,2340,2652,2914,355,1496,7119,2306,1638,6543,16836,9852,
"Fraser",268,1621,8577,3329,573,2966,6833,3120,960,3683,5922,4425,96,718,10630,1323,1892,8987,31961,12194,
"Fremantle",814,2696,5468,4160,337,2784,4840,2862,1416,5333,4057,4968,396,1334,7688,2112,2961,12147,22062,14101,
"Gellibrand",1149,2883,5797,4226,749,3290,4913,2708,2819,7334,4309,5769,301,1075,7816,1568,5028,14585,22832,14272,
"Gilmore",540,2077,5651,5199,98,810,3594,2285,447,2198,3135,4073,550,2094,13389,4583,1636,7180,25765,16138,
"Gippsland",316,1635,6790,4415,107,1091,3936,2753,318,2109,3915,4224,236,1446,11600,3253,980,6292,26246,14652,
"Goldstein",1844,5213,3834,4853,604,2498,4094,1374,2192,5998,1974,3276,771,2946,8073,3829,5413,16656,17975,13330,
"Gorton",302,1529,7081,3503,323,2144,5974,3608,1134,4714,6727,6579,86,575,7096,1192,1849,8963,26880,14881,
"Grayndler",2309,3880,3113,3581,1089,5054,4132,2229,3754,8353,2755,4453,1119,1749,5587,1971,8268,19034,15593,12241,
"Greenway",825,2707,5722,3853,721,2932,5387,2764,2827,6644,4924,5588,261,1137,7335,1528,4631,13414,23368,13730,
"Grey",204,1498,8784,4916,108,1211,5001,2477,249,2265,5271,4324,130,1226,14364,2872,693,6201,33423,14588,
"Griffith",1471,3501,3516,3596,926,5448,5986,3340,2728,7386,2959,4744,531,1436,5606,1820,5659,17771,18065,13496,
"Groom",630,2186,5819,4355,154,1685,4855,3413,724,3222,4160,4406,281,1505,10304,2513,1785,8602,25133,14688,
"Hasluck",454,1983,6009,4149,184,1519,4889,2684,790,3205,4536,4263,252,1394,7993,2594,1682,8103,23431,13690,
"Herbert",574,2127,6317,4263,195,2262,7420,3979,719,3707,5136,5508,249,1107,7918,1883,1735,9200,26796,15626,
"Higgins",1709,4627,3153,3809,1701,6507,5885,2517,3363,7846,2056,3745,860,3020,6615,3239,7636,22004,17713,13309,
"Hindmarsh",647,2370,7566,4782,404,2397,5540,2671,1190,4196,4071,4777,294,1457,13662,2884,2530,10414,30836,15106,
"Hinkler",254,1638,6586,4445,67,854,4135,2201,282,2065,4027,3827,205,1353,14643,3195,810,5909,29388,13662,
"Holt",283,1405,6839,3987,325,1834,6212,4019,1376,4072,5935,6839,88,511,6416,1367,2068,7824,25400,16206,
"Hotham",956,3121,5666,4018,1260,4602,7791,2510,2802,6040,3426,4360,328,1568,11370,2521,5342,15332,28246,13411,
"Hughes",820,2751,5132,4610,364,2299,4228,2478,1354,4606,3308,4995,359,1209,7864,2558,2906,10863,20531,14640,
"Hume",503,1883,6345,4670,260,1231,4686,3323,634,2889,4570,5185,302,1250,8574,2732,1689,7258,24183,15910,
"Hunter",340,1440,6812,4691,103,1051,5258,3457,447,2376,5081,5126,287,1413,10978,2784,1179,6273,28123,16055,
"Indi",436,1961,6159,5143,143,1017,3374,2718,443,2607,3212,4686,303,1776,11078,3677,1318,7359,23814,16218,
"Isaacs",734,2799,5724,4549,460,2408,4322,2224,1676,5308,3582,5023,306,1353,9439,2650,3175,11865,23069,14448,
"Jagajaga",1057,3242,5065,4510,606,2644,4383,2238,1881,5369,2701,4360,558,1914,8862,2844,4096,13173,21007,13953,
"Kennedy",330,1583,7826,4327,89,1259,5186,2625,335,2360,5655,4444,164,1104,10763,2262,910,6312,29430,13662,
"Kingsford Smith",1585,3449,4353,3629,1497,6192,7980,2491,3523,7403,3308,4707,616,1664,8191,2409,7224,18705,23833,13233,
"Kingston",402,1962,7257,5394,179,1541,5618,3329,614,3251,4777,5821,195,1290,11344,3099,1394,8052,28991,17646,
"Kooyong",2225,5638,3254,4118,1122,4687,5767,1799,2864,6469,1745,2922,1226,3772,6550,3821,7441,20565,17318,12658,
"La Trobe",405,1865,6154,4448,299,1710,5147,3647,1057,3858,4581,6142,156,901,7076,1941,1915,8339,22960,16177,
"Lalor",388,1589,6710,3795,759,2605,6191,3824,2659,5658,5873,6631,153,627,6609,1356,3962,10476,25379,15606,
"Leichhardt",717,2591,6445,5220,186,1900,5483,3048,818,3830,5346,5792,297,1317,7609,2428,2014,9642,24883,16491,
"Lilley",735,2725,5237,4109,387,3004,5027,3477,1586,5690,3814,5090,345,1453,9403,2349,3060,12871,23482,15029,
"Lindsay",421,1559,7329,4054,458,1900,6438,4321,1009,3268,6308,5923,166,800,9077,1841,2049,7527,29153,16142,
"Lingiari",404,1244,4494,2607,130,913,5396,1665,498,1974,5068,2863,166,551,2599,906,1194,4689,17551,8040,
"Longman",298,1463,7252,5059,68,1012,5752,3841,274,2184,5353,5705,198,1068,11193,2738,833,5734,29551,17340,
"Lyne",318,1758,6137,5188,62,647,3415,2070,288,1768,3248,3852,310,1825,14053,4040,976,5997,26853,15150,
"Lyons",206,1112,5606,2947,55,467,3183,1585,204,1167,3606,2734,170,939,7835,2047,646,3688,20233,9318,
"Macarthur",377,1561,7274,3904,466,1908,6570,3884,1026,3260,6198,5396,165,803,8188,1766,2036,7535,28238,14958,
"Mackellar",1063,3653,4258,5108,272,1919,3769,1845,1395,5168,2623,4374,563,2224,8326,3913,3298,12960,18976,15239,
"Macnamara",1804,3988,3156,3609,1710,7080,5750,3351,4096,9364,2868,5018,1034,2515,5190,2718,8648,22947,16973,14704,
"Macquarie",1075,2924,4918,5215,305,1271,4148,2816,843,3253,3334,4507,751,2199,7828,3569,2972,9647,20227,16111,
"Makin",367,1700,7856,5008,324,2166,5967,3259,1037,3937,4893,5677,157,1076,12515,2716,1884,8881,31230,16661,
"Mallee",209,1553,7355,4562,126,1196,4296,2539,307,2180,4067,4127,120,1294,13491,2979,763,6228,29215,14212,
"Maranoa",227,1496,7132,4155,70,1195,4282,2514,295,2340,4764,3957,120,1174,11507,2431,713,6208,27689,13057,
"Maribyrnong",967,3177,5326,3912,1012,4264,5379,2758,2330,6611,3482,4577,358,1283,9021,2057,4662,15336,23208,13301,
"Mayo",810,2985,6038,5851,134,1203,4319,2179,785,3577,3540,4697,593,2587,11674,4518,2320,10356,25568,17243,
"McEwen",445,1877,6133,4484,175,1508,4342,3162,686,3533,4245,5694,224,1090,7013,2248,1529,8008,21731,15591,
"McMahon",292,1596,7881,3393,512,2393,6753,3228,935,3250,6397,4733,142,752,9234,1378,1873,7991,30268,12731,
