Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"MB by Commonwealth Electoral Divisions (UR) by AGEP Age, HEAP - 1 Digit Level and SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGEP Age","ages45to59",,,,"age18to29",,,,"ages30to44",,,,"ages60plus",,,,"Total",,,,
"HEAP - 1 Digit Level","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV","postgraduateDegree","bachelorDegree","highSchoolorCertIorIIorLess","gradDipDipCertIIIandIV",
"SEXP Sex","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male","Male",
"MB by Commonwealth Electoral Divisions (UR)",
"Cooper",1239,2673,4429,4020,864,3398,5921,3162,2527,5761,3922,5380,534,1041,5804,2680,5163,12878,20073,15244,
"Corangamite",532,1609,3486,5594,119,942,4104,2807,541,2128,2522,5616,577,1790,5538,6178,1772,6465,15649,20199,
"Corio",613,1580,4680,5322,221,1467,5438,3530,781,2427,3864,5117,399,1143,6058,4996,2014,6619,20038,18965,
"Cowan",374,1300,5172,5694,109,1188,6295,3484,642,2507,5137,6269,194,707,4541,4243,1321,5708,21158,19689,
"Cowper",396,1412,4994,6456,52,546,4670,2458,292,1444,3606,4668,505,1762,8916,8366,1248,5168,22191,21940,
"Cunningham",1098,2059,3892,6241,482,2324,6991,3489,1368,2784,3197,5854,828,1499,5371,5714,3772,8663,19450,21295,
"Curtin",2316,4368,1979,3288,452,3464,5093,2117,2367,5010,1927,3399,1803,3472,3245,3537,6933,16307,12244,12342,
"Dawson",365,1086,5480,7042,60,783,5223,4062,351,1404,4173,6876,189,717,6400,5246,965,3990,21275,23228,
"Deakin",959,2358,4032,5612,307,1772,5379,3008,1734,4211,3412,5699,685,1730,5260,5401,3682,10070,18085,19715,
"Dickson",843,2167,4249,6852,68,936,5601,3526,701,2556,3811,6894,462,1163,4675,4923,2069,6822,18339,22189,
"Dobell",366,1091,4935,6312,58,603,5860,2993,318,1358,4182,6082,365,1155,6448,6355,1105,4205,21424,21748,
"Dunkley",533,1581,5035,6435,96,847,5298,3650,523,2143,4164,6648,402,1265,5374,5397,1553,5837,19871,22130,
"Durack",311,1205,7581,8082,74,839,5978,5171,507,2177,6707,9939,146,505,6696,4137,1035,4721,26956,27338,
"Eden-Monaro",919,1691,4977,6783,82,630,4416,2763,719,1716,3394,5277,766,1806,6703,6069,2488,5850,19489,20890,
"Fadden",598,1479,4814,6551,171,1149,5949,3744,741,1977,4463,6384,391,1235,6073,5975,1905,5847,21289,22654,
"Fairfax",546,1677,4082,6664,53,696,4380,2961,469,2019,3283,5890,611,1677,6077,6540,1683,6075,17830,22058,
"Farrer",300,1115,6394,6060,64,644,5381,3533,333,1530,4197,5640,220,900,9835,5733,914,4187,25814,20960,
"Fenner",1600,1995,2789,3748,461,2100,5717,2803,2984,4271,3554,5695,770,1368,2450,2517,5821,9738,14514,14763,
"Fisher",453,1481,4095,6454,59,674,4543,2902,365,1692,3220,5778,581,1621,6804,6954,1459,5475,18662,22090,
"Flinders",394,1287,3980,6045,49,485,4039,2834,226,1333,2765,5051,609,2000,6903,7284,1280,5101,17676,21214,
"Flynn",216,827,6500,6892,45,516,5054,3766,264,1242,4716,7072,129,466,7320,4452,653,3051,23588,22179,
"Forde",335,1018,5375,6177,80,731,6797,4389,396,1643,5813,7173,222,731,5572,4965,1029,4123,23553,22707,
"Forrest",298,1384,4842,6352,43,465,4100,3160,274,1592,4024,6283,307,1195,6495,5389,918,4635,19462,21190,
"Fowler",302,1210,7823,3935,267,1917,8048,2844,640,2233,6432,4074,182,770,7201,3177,1396,6129,29502,14035,
